SOURCE_NUMBER,NAME,RA,DEC,Uncert (arcmin),REDSHIFT,REDSHIFT_FLAG,FLUX_1P4_GHZ,RMAG,XRAY_FLUX,OBJECT_TYPE,LII,BII,FLUX_143_GHZ,GR_PHOTON_FLUX,RO_SPECTRAL_INDEX
2463,[MML2015] 5BZQ J1508+5604,227.103,56.073139,0.016666667,0.978,,23,19,2.40E-13,QSO RLOUD FLAT RADIO SP.,92.190653,52.090172,0,,0.517
2801,[MML2015] 5BZQ J1722+5611,260.741708,56.189528,0.016666667,2.269,,200,20.4,,QSO RLOUD FLAT RADIO SP.,84.253391,34.42518,0,,0.797
2612,[MML2015] 5BZQ J1608+5613,242.086458,56.232328,0.016666667,3.084,,245,18.2,1.50E-13,QSO RLOUD FLAT RADIO SP.,86.693957,44.596993,0,,0.636
898,[MML2015] 5BZQ J0650+5616,102.700625,56.276247,0.016666667,1.427,,198,18.5,,QSO RLOUD FLAT RADIO SP.,159.776684,22.202595,0,,0.63
2582,[MML2015] 5BZB J1558+5625,239.701208,56.420578,0.016666667,,,208,17.4,1.30E-13,BL LAC,87.590454,45.773911,0,1.30E-09,0.538
1599,[MML2015] 5BZB J1058+5628,164.657208,56.469778,0.016666667,0.143,,229,16,3.13E-12,BL LAC,149.592764,54.424822,0,4.80E-09,0.483
2606,[MML2015] 5BZB J1606+5630,241.586958,56.504858,0.016666667,0.45,,14,19.4,2.18E-12,BL LAC CANDIDATE,87.183897,44.768621,0,,0.424
2157,[MML2015] 5BZQ J1334+5631,203.656208,56.529969,0.016666667,0.343,,180,18.3,3.90E-13,QSO RLOUD FLAT RADIO SP.,111.151934,59.599631,0,,0.584
2362,[MML2015] 5BZB J1436+5639,219.24075,56.656889,0.016666667,0.15,?,21,18.4,1.67E-12,BL LAC,97.729264,55.001242,0,5.00E-10,0.509
1703,[MML2015] 5BZQ J1127+5650,171.917208,56.837439,0.016666667,2.89,,475,19.6,2.20E-13,QSO RLOUD FLAT RADIO SP.,143.829578,56.761065,0,,0.801
